ticker,family,S0,n_oos,n_paths,P_obs_end,q05_end,q50_end,q95_end,mean_end,std_end,hit_rate_90,cov90_path,median_mape,mean_crps,crps_rel_S0
SPY,Gaussian,469.8983,572,500,710.1344523495925,364.99435646803585,598.5161122276576,846.7961274408382,603.1908019916074,151.2584507653359,1.0,1.0,0.10034795588618023,39.24492478545092,0.08351791182358165
SPY,StudentT,469.8983,572,500,710.1344523495925,393.33321271497465,588.0740675811268,847.6995802439512,598.1232533517235,147.48905993991454,1.0,1.0,0.11207070597478015,42.662438020077055,0.0907907903052151
SPY,Laplace,469.8983,572,500,710.1344523495925,407.3745864536355,596.9533382075708,882.7290420060311,613.8996933971127,142.531948353497,1.0,1.0,0.10197135514106091,38.67961809367565,0.08231487131082545
NVDA,Gaussian,47.6677,572,500,198.07193779932098,45.99961294372539,146.25244111501897,418.1081310252348,183.57643138237387,132.0536928244741,1.0,0.6975524475524476,0.33916736515333457,30.62176825828782,0.6424007925343118
NVDA,StudentT,47.6677,572,500,198.07193779932098,43.999317228303575,136.50921542185807,422.85042121070603,168.3299683922753,121.93130289003616,1.0,0.6363636363636364,0.38336079064487055,34.766055896709624,0.729342005104287
NVDA,Laplace,47.6677,572,500,198.07193779932098,40.09638154713318,119.96671246046617,356.826024131404,149.1569891102019,104.03811835700736,1.0,0.666083916083916,0.41114351543472516,36.580566305858184,0.7674078318412296
JNJ,Gaussian,160.9321,572,500,231.99043220044754,118.77407772970335,186.75613345533483,276.2174093131089,189.07871858410311,47.45529851361331,1.0,1.0,0.10111394632805015,12.550613558189267,0.07798701165391658
JNJ,StudentT,160.9321,572,500,231.99043220044754,115.80569031746032,185.15296377905364,282.994061830794,189.38936797675825,52.20866445271361,1.0,1.0,0.09759071162320665,12.616777427809838,0.0783981407550752
JNJ,Laplace,160.9321,572,500,231.99043220044754,124.69449961705634,178.804271340962,269.34269930039005,185.35157179180263,44.45386460012146,1.0,1.0,0.1007794248204595,12.651380520257693,0.07861315747608895
JPM,Gaussian,171.3335,572,500,314.1851772515061,108.76999441116784,221.1137009895544,389.58836749304345,233.1647991121653,90.23707368726576,1.0,1.0,0.19546115273637246,32.227288290964744,0.18809683039781913
JPM,StudentT,171.3335,572,500,314.1851772515061,99.63513201236437,191.42599984606937,365.9618272205205,211.59306565515257,87.61406726142347,1.0,1.0,0.24071084987592986,40.375899491409506,0.23565677168451885
JPM,Laplace,171.3335,572,500,314.1851772515061,118.25165719054456,208.37757847138278,388.9099105814919,225.6570407827483,83.46353163501658,1.0,1.0,0.2112430070696964,35.25100644975461,0.20574497369022762
AAPL,Gaussian,184.3226,572,500,276.2408343263282,155.49548975527992,313.0575163350072,628.6923758946654,341.17225709414976,151.5835267059133,1.0,1.0,0.10834796793946688,21.298852887852227,0.11555204238575317
AAPL,StudentT,184.3226,572,500,276.2408343263282,144.33610066688342,285.50889692593853,542.0626067369634,309.9054764342057,129.38875042545493,1.0,1.0,0.07451746330643357,18.894911669737116,0.10251001054530001
AAPL,Laplace,184.3226,572,500,276.2408343263282,142.52985263407083,283.2570276875177,544.7702330618167,308.6030716595191,127.4322927025008,1.0,1.0,0.07645667112881321,18.82306305155472,0.10212021234267919
QQQ,Gaussian,399.5046,572,500,649.0205332319141,360.39107950147616,584.7026869894539,923.2447265384319,605.0579908760114,175.3459588577447,1.0,0.9982517482517482,0.0728286221752096,30.479712293237093,0.07629377056794114
QQQ,StudentT,399.5046,572,500,649.0205332319141,349.86426390969945,566.6552424324698,895.4286431280436,585.1994479262405,166.1411032509829,1.0,0.9947552447552448,0.07905809359878448,31.633118818112642,0.07918086254354179
QQQ,Laplace,399.5046,572,500,649.0205332319141,310.1118567208737,520.2668168577286,874.9580071357675,547.4402810804808,174.69094406551824,1.0,1.0,0.1183738950539763,41.12271847962536,0.10293428030522142
