basket,seed,oos_offdiag_mae_t,oos_offdiag_mae_gauss,gap_t_minus_gauss
main,20260501,0.208749,0.202360,+0.006389
main,20260502,0.208655,0.203494,+0.005161
main,20260503,0.209085,0.204011,+0.005074
main,20260504,0.207217,0.201801,+0.005416
main,20260505,0.210211,0.203180,+0.007031
main,20260506,0.209463,0.202900,+0.006563
main,20260507,0.208033,0.203353,+0.004680
main,20260508,0.209322,0.203897,+0.005424
main,20260509,0.205929,0.202521,+0.003408
main,20260510,0.206426,0.202541,+0.003885
main,20260511,0.210832,0.205348,+0.005484
main,20260512,0.210123,0.203435,+0.006688
main,20260513,0.211923,0.206098,+0.005826
main,20260514,0.209885,0.202583,+0.007303
main,20260515,0.211104,0.204679,+0.006425
main,20260516,0.208011,0.201839,+0.006172
main,20260517,0.207720,0.203105,+0.004615
main,20260518,0.209153,0.204888,+0.004265
main,20260519,0.208789,0.202600,+0.006189
main,20260520,0.206723,0.203049,+0.003674
nonoverlap,20260501,0.254968,0.245769,+0.009199
nonoverlap,20260502,0.255636,0.246970,+0.008665
nonoverlap,20260503,0.255630,0.247531,+0.008098
nonoverlap,20260504,0.252643,0.244628,+0.008014
nonoverlap,20260505,0.257690,0.247947,+0.009743
nonoverlap,20260506,0.253369,0.245903,+0.007466
nonoverlap,20260507,0.251425,0.244749,+0.006675
nonoverlap,20260508,0.255176,0.247701,+0.007474
nonoverlap,20260509,0.252757,0.246361,+0.006396
nonoverlap,20260510,0.252059,0.246592,+0.005467
nonoverlap,20260511,0.256000,0.249774,+0.006226
nonoverlap,20260512,0.257685,0.246067,+0.011618
nonoverlap,20260513,0.259659,0.250125,+0.009535
nonoverlap,20260514,0.257176,0.247438,+0.009738
nonoverlap,20260515,0.257273,0.248863,+0.008410
nonoverlap,20260516,0.252670,0.244165,+0.008505
nonoverlap,20260517,0.253269,0.244443,+0.008826
nonoverlap,20260518,0.255084,0.247694,+0.007390
nonoverlap,20260519,0.255169,0.247170,+0.008000
nonoverlap,20260520,0.252353,0.246854,+0.005498
basket,stat,value,,
main,gap_mean,+0.005484,,
main,gap_sd,0.001134,,
main,gap_ci95_lo,+0.004953,,
main,gap_ci95_hi,+0.006014,,
main,covers_zero,false,,
nonoverlap,gap_mean,+0.008047,,
nonoverlap,gap_sd,0.001548,,
nonoverlap,gap_ci95_lo,+0.007323,,
nonoverlap,gap_ci95_hi,+0.008772,,
nonoverlap,covers_zero,false,,
